gene	Type
miR-224-5p	miRNA
miR-139-5p	miRNA
miR-9-5p	miRNA
miR-7-5p	miRNA
miR-185-5p	miRNA
miR-182-5p	miRNA
miR-490-3p	miRNA
miR-382-5p	miRNA
miR-409-3p	miRNA
miR-455-5p	miRNA
miR-299-3p	miRNA
miR-150-5p	miRNA
miR-143-3p	miRNA
miR-214-5p	miRNA
miR-409-5p	miRNA
miR-542-3p	miRNA
miR-155-5p	miRNA
miR-145-5p	miRNA
miR-488-3p	miRNA
miR-493-5p	miRNA
miR-375	miRNA
miR-1224-5p	miRNA
INHBA	mRNA
LRRK2	mRNA
HSP90AA1	mRNA
HSPB8	mRNA
EIF2AK2	mRNA
ARID3A	TF
ARNT	TF
ASCL1	TF
ATF3	TF
BACH2	TF
BCL3	TF
BCOR	TF
BRCA1	TF
BRD2	TF
BRD4	TF
CBFB	TF
CBX8	TF
CDK7	TF
CDK8	TF
CDK9	TF
CEBPA	TF
CEBPB	TF
CREB1	TF
CREBBP	TF
CTCF	TF
DDX5	TF
E2F1	TF
E2F6	TF
EBF1	TF
EGR1	TF
EHF	TF
ELF1	TF
ELK3	TF
EP300	TF
ERG	TF
ESR1	TF
ETS1	TF
ETS2	TF
EZH1	TF
FLI1	TF
FOSL1	TF
FOXA1	TF
FOXA2	TF
FOXP1	TF
GABPA	TF
GATA1	TF
GATA2	TF
GATA3	TF
GLIS1	TF
GRHL2	TF
GTF2B	TF
EWSR1	TF
HDAC1	TF
HDAC2	TF
HSF1	TF
IRF1	TF
IRF2	TF
IRF4	TF
JMJD6	TF
JUN	TF
JUND	TF
KDM4C	TF
KDM5B	TF
KLF1	TF
KLF4	TF
KLF5	TF
KLF9	TF
LMNB1	TF
LYL1	TF
MAX	TF
MAZ	TF
MXI1	TF
MYB	TF
MYC	TF
MYH11	TF
MYOD1	TF
NFATC1	TF
NFIC	TF
NOTCH1	TF
NR2F2	TF
NRIP1	TF
PBX1	TF
PBX3	TF
PGR	TF
PHF8	TF
POLR2A	TF
POU2F1	TF
PPARGC1A	TF
REPIN1	TF
RNF2	TF
RUNX3	TF
SMARCA4	TF
SMC1A	TF
SMC3	TF
SPI1	TF
SRF	TF
STAG1	TF
STAT1	TF
SUMO2	TF
TCF12	TF
TCF3	TF
TFAP2A	TF
TFAP2C	TF
TFAP4	TF
TP63	TF
USF1	TF
VEZF1	TF
ZBTB7A	TF
ZNF263	TF
ZNF92	TF
